file,type,is_task,caps,urgency,subtype,note
belongings_000.jpg,belongings,0,,0,,
belongings_001.jpg,belongings,0,,0,,
belongings_002.jpg,belongings,0,,0,,
belongings_003.jpg,belongings,0,,0,,
belongings_004.jpg,belongings,0,,0,,
belongings_005.jpg,belongings,0,,0,,
belongings_006.jpg,belongings,0,,0,,
belongings_007.jpg,belongings,0,,0,,
belongings_008.jpg,belongings,0,,0,,
belongings_009.jpg,belongings,0,,0,,
belongings_010.jpg,belongings,0,,0,,
belongings_011.jpg,belongings,0,,0,,
belongings_012.jpg,belongings,0,,0,,
belongings_013.jpg,belongings,0,,0,,
belongings_014.jpg,belongings,0,,0,,
belongings_015.jpg,belongings,0,,0,,
belongings_016.jpg,belongings,0,,0,,
belongings_017.jpg,belongings,0,,0,,
belongings_018.jpg,belongings,0,,0,,
belongings_019.jpg,belongings,0,,0,,
blocking_chair_01.jpg,blocking_chair,1,manip,2,,
fallen_object_12.jpg,fallen_object,1,report,3,,
fallen_papers_01.jpg,fallen_papers,1,manip,1,,
fallen_papers_03.jpg,fallen_papers,1,manip,1,,
indoor_ambiguous_000.jpg,indoor_ambiguous,0,,0,arranged_chairs,
indoor_ambiguous_001.jpg,indoor_ambiguous,0,,0,arranged_chairs,
indoor_ambiguous_002.jpg,indoor_ambiguous,0,,0,arranged_chairs,
indoor_ambiguous_003.jpg,indoor_ambiguous,0,,0,shiny_floor,
indoor_ambiguous_004.jpg,indoor_ambiguous,0,,0,shiny_floor,
indoor_ambiguous_005.jpg,indoor_ambiguous,0,,0,shiny_floor,
indoor_ambiguous_006.jpg,indoor_ambiguous,0,,0,delivered_package,
indoor_ambiguous_007.jpg,indoor_ambiguous,0,,0,delivered_package,
indoor_ambiguous_008.jpg,indoor_ambiguous,0,,0,posted_flyers,
indoor_ambiguous_009.jpg,indoor_ambiguous,0,,0,posted_flyers,
indoor_ambiguous_010.jpg,indoor_ambiguous,0,,0,posted_flyers,
indoor_ambiguous_011.jpg,indoor_ambiguous,0,,0,standing_sign,
indoor_ambiguous_012.jpg,indoor_ambiguous,0,,0,standing_sign,
indoor_ambiguous_013.jpg,indoor_ambiguous,0,,0,upright_bin,
indoor_ambiguous_014.jpg,indoor_ambiguous,0,,0,upright_bin,
indoor_ambiguous_015.jpg,indoor_ambiguous,0,,0,janitor_cart,
indoor_ambiguous_016.jpg,indoor_ambiguous,0,,0,janitor_cart,
indoor_ambiguous_017.jpg,indoor_ambiguous,0,,0,janitor_cart,
indoor_ambiguous_018.jpg,indoor_ambiguous,0,,0,mounted_wall,
indoor_ambiguous_019.jpg,indoor_ambiguous,0,,0,mounted_wall,
indoor_ambiguous_020.jpg,indoor_ambiguous,0,,0,in_use,
indoor_ambiguous_021.jpg,indoor_ambiguous,0,,0,in_use,
indoor_ambiguous_022.jpg,indoor_ambiguous,0,,0,managed,
indoor_ambiguous_023.jpg,indoor_ambiguous,0,,0,managed,
indoor_ambiguous_024.jpg,indoor_ambiguous,0,,0,standing_sign,
indoor_ambiguous_025.jpg,indoor_ambiguous,0,,0,arranged_chairs,
indoor_ambiguous_026.jpg,indoor_ambiguous,0,,0,arranged_chairs,
indoor_hazard_008.jpg,indoor_hazard,1,report,4,,
indoor_hazard_012.jpg,indoor_hazard,1,report,4,,
indoor_hazard_013.jpg,indoor_hazard,1,report,4,,
indoor_hazard_014.jpg,indoor_hazard,1,report,4,,
indoor_hazard_015.jpg,indoor_hazard,1,report,4,,
indoor_hazard_016.jpg,indoor_hazard,1,report,4,,
indoor_trash_01.jpg,indoor_trash,1,manip,1,,
indoor_trash_02.jpg,indoor_trash,1,manip,1,,
indoor_trash_03.jpg,indoor_trash,1,manip,1,,
indoor_trash_04.jpg,indoor_trash,1,manip,1,,
indoor_trash_05.jpg,indoor_trash,1,manip,1,,
indoor_trash_06.jpg,indoor_trash,1,manip,1,,
indoor_trash_07.jpg,indoor_trash,1,manip,1,,
indoor_trash_08.jpg,indoor_trash,1,manip,1,,
indoor_trash_09.jpg,indoor_trash,1,manip,1,,
indoor_trash_10.jpg,indoor_trash,1,manip,1,,
normal_000.jpg,normal,0,,0,,
normal_001.jpg,normal,0,,0,,
normal_002.jpg,normal,0,,0,,
normal_003.jpg,normal,0,,0,,
normal_004.jpg,normal,0,,0,,
normal_005.jpg,normal,0,,0,,
normal_006.jpg,normal,0,,0,,
normal_007.jpg,normal,0,,0,,
normal_008.jpg,normal,0,,0,,
normal_009.jpg,normal,0,,0,,
normal_010.jpg,normal,0,,0,,
normal_011.jpg,normal,0,,0,,
normal_012.jpg,normal,0,,0,,
normal_013.jpg,normal,0,,0,,
normal_014.jpg,normal,0,,0,,
normal_015.jpg,normal,0,,0,,
normal_016.jpg,normal,0,,0,,
normal_017.jpg,normal,0,,0,,
normal_018.jpg,normal,0,,0,,
normal_019.jpg,normal,0,,0,,
normal_020.jpg,normal,0,,0,,
normal_021.jpg,normal,0,,0,,
normal_022.jpg,normal,0,,0,,
normal_023.jpg,normal,0,,0,,
normal_024.jpg,normal,0,,0,,
package_box_01.jpg,package_box,0,no_touch,2,,"노터치: report/none 정답, 개입만 오답"
package_box_06.jpg,package_box,0,no_touch,2,,"노터치: report/none 정답, 개입만 오답"
spill_01.jpg,spill,1,clean,3,,
spill_02.jpg,spill,1,clean,3,,
spill_03.jpg,spill,1,clean,3,,
spill_04.jpg,spill,1,clean,3,,
spill_05.jpg,spill,1,clean,3,,
spill_09.jpg,spill,1,clean,3,,
spill_10.jpg,spill,1,clean,3,,
spill_11.jpg,spill,1,clean,3,,
spill_12.jpg,spill,1,clean,3,,
spill_13.jpg,spill,1,clean,3,,
spill_14.jpg,spill,1,clean,3,,
spill_15.jpg,spill,1,clean,3,,
spill_16.jpg,spill,1,clean,3,,
tipped_bin_03.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_04.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_05.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_11.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_12.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_13.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_14.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_15.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_16.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_17.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_18.jpg,tipped_bin,1,manip+clean,2,,
tipped_bin_19.jpg,tipped_bin,1,manip+clean,2,,
